([327], [3, 13, 14, 15, 16, 17], [(3, 16), (3, 13), (3, 15), (13, 16), (13, 17), (14, 17), (14, 15), (14, 15), (16, 17)])
([329], [3, 13, 14, 15, 16, 17], [(3, 16), (3, 13), (3, 15), (13, 16), (13, 17), (14, 17), (14, 15), (14, 15), (16, 17)])
([330], [5, 13, 14, 15, 16, 17], [(5, 17), (5, 13), (5, 15), (13, 16), (13, 17), (14, 16), (14, 15), (14, 15), (16, 17)])
([331], [5, 12, 13, 14, 15, 16], [(5, 12), (5, 14), (5, 15), (12, 16), (12, 15), (13, 16), (13, 14), (13, 14), (15, 16)])
([333], [3, 13, 14, 15, 16, 17], [(3, 17), (3, 13), (3, 15), (13, 16), (13, 17), (14, 16), (14, 15), (14, 15), (16, 17)])
([340], [6, 12, 13, 14, 15, 17], [(6, 12), (6, 13), (6, 15), (12, 17), (12, 17), (13, 14), (13, 15), (14, 17), (14, 15)])
([342], [4, 12, 13, 14, 15, 16], [(4, 16), (4, 12), (4, 14), (12, 13), (12, 13), (13, 15), (14, 16), (14, 15), (15, 16)])
([343], [5, 12, 13, 14, 15, 16], [(5, 16), (5, 12), (5, 15), (12, 13), (12, 13), (13, 14), (14, 16), (14, 15), (15, 16)])
([344], [5, 11, 12, 13, 14, 17], [(5, 11), (5, 13), (5, 14), (11, 12), (11, 12), (12, 17), (13, 17), (13, 14), (14, 17)])
([345], [4, 12, 13, 14, 15, 16], [(4, 16), (4, 12), (4, 14), (12, 13), (12, 13), (13, 15), (14, 16), (14, 15), (15, 16)])
([360], [5, 13, 14, 15, 16, 17], [(5, 16), (5, 14), (5, 15), (13, 17), (13, 14), (13, 14), (15, 16), (15, 17), (16, 17)])
([362], [6, 12, 13, 14, 15, 17], [(6, 12), (6, 14), (6, 15), (12, 13), (12, 13), (13, 17), (14, 17), (14, 15), (15, 17)])
([363], [4, 12, 13, 14, 15, 17], [(4, 12), (4, 14), (4, 15), (12, 13), (12, 13), (13, 17), (14, 17), (14, 15), (15, 17)])
([364], [4, 12, 13, 14, 15, 17], [(4, 12), (4, 14), (4, 15), (12, 13), (12, 13), (13, 17), (14, 17), (14, 15), (15, 17)])
([365], [5, 12, 13, 14, 15, 17], [(5, 12), (5, 14), (5, 15), (12, 13), (12, 13), (13, 17), (14, 17), (14, 15), (15, 17)])
([366], [6, 12, 13, 14, 15, 17], [(6, 12), (6, 13), (6, 14), (12, 15), (12, 15), (13, 17), (13, 14), (14, 17), (15, 17)])
([375], [2, 13, 14, 15, 16, 17], [(2, 16), (2, 13), (2, 15), (13, 16), (13, 17), (14, 17), (14, 15), (14, 15), (16, 17)])
