([839], [2, 3, 9, 10], [(2, 2), (2, 3), (3, 9), (3, 9), (9, 10), (10, 10)])
([846], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([848], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 15), (14, 14)])
([890], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([927], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([944], [2, 3, 9, 10], [(2, 2), (2, 3), (3, 9), (3, 9), (9, 10), (10, 10)])
([965], [1, 2, 10, 11], [(1, 1), (1, 2), (2, 10), (2, 10), (10, 11), (11, 11)])
([977], [3, 4, 14, 15], [(3, 3), (3, 4), (4, 15), (4, 15), (14, 14), (14, 15)])
([987], [1, 2, 11, 12], [(1, 1), (1, 2), (2, 11), (2, 11), (11, 12), (12, 12)])
([988], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1004], [3, 4, 14, 15], [(3, 3), (3, 4), (4, 15), (4, 15), (14, 14), (14, 15)])
([1033], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1034], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 14), (14, 15)])
([1036], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1073], [2, 3, 8, 9], [(2, 3), (2, 9), (2, 9), (3, 3), (8, 8), (8, 9)])
([1074], [1, 2, 9, 10], [(1, 2), (1, 10), (1, 10), (2, 2), (9, 9), (9, 10)])
([1075], [2, 3, 8, 9], [(2, 3), (2, 9), (2, 9), (3, 3), (8, 8), (8, 9)])
([1077], [2, 3, 8, 9], [(2, 3), (2, 9), (2, 9), (3, 3), (8, 8), (8, 9)])
([1085], [2, 3, 8, 9], [(2, 3), (2, 9), (2, 9), (3, 3), (8, 8), (8, 9)])
([1086], [1, 2, 10, 11], [(1, 2), (1, 11), (1, 11), (2, 2), (10, 10), (10, 11)])
([1120], [1, 2, 13, 14], [(1, 1), (1, 2), (2, 13), (2, 13), (13, 14), (14, 14)])
([1207], [2, 3, 8, 9], [(2, 2), (2, 3), (3, 8), (3, 8), (8, 9), (9, 9)])
([1297], [1, 2, 8, 9], [(1, 1), (1, 2), (2, 8), (2, 8), (8, 9), (9, 9)])
([1406], [1, 2, 9, 10], [(1, 1), (1, 2), (2, 9), (2, 9), (9, 10), (10, 10)])
([1433], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 15), (14, 14)])
([1454], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([1464], [2, 3, 7, 8], [(2, 2), (2, 3), (3, 7), (3, 7), (7, 8), (8, 8)])
([1467], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1468], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1480], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1510], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([1524], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([1541], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 15), (14, 14)])
([1542], [1, 2, 13, 14], [(1, 2), (1, 14), (1, 14), (2, 2), (13, 13), (13, 14)])
([1558], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 15), (14, 14)])
([1637], [1, 2, 8, 9], [(1, 9), (1, 9), (1, 2), (2, 2), (8, 8), (8, 9)])
([1638], [2, 3, 7, 8], [(2, 8), (2, 8), (2, 3), (3, 3), (7, 8), (7, 7)])
([1639], [2, 3, 7, 8], [(2, 8), (2, 8), (2, 3), (3, 3), (7, 8), (7, 7)])
([1640], [2, 3, 7, 8], [(2, 8), (2, 8), (2, 3), (3, 3), (7, 8), (7, 7)])
([1672], [2, 3, 14, 15], [(2, 3), (2, 15), (2, 15), (3, 3), (14, 15), (14, 14)])
([1796], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([1844], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 14), (14, 15)])
([1845], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 15), (14, 14)])
([1933], [2, 3, 14, 15], [(2, 3), (2, 15), (2, 15), (3, 3), (14, 14), (14, 15)])
([1960], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([1961], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([2001], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 15), (14, 14)])
([2044], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 14), (14, 15)])
([2144], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([2345], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2393], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2421], [1, 2, 7, 8], [(1, 1), (1, 2), (2, 7), (2, 7), (7, 8), (8, 8)])
([2422], [1, 2, 7, 8], [(1, 8), (1, 8), (1, 2), (2, 2), (7, 8), (7, 7)])
([2437], [2, 3, 14, 15], [(2, 3), (2, 15), (2, 15), (3, 3), (14, 14), (14, 15)])
([2455], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([2460], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 14), (14, 15)])
([2471], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2506], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([2594], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2617], [10, 11, 12, 13], [(10, 10), (10, 11), (11, 13), (11, 13), (12, 12), (12, 13)])
([2656], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2798], [10, 11, 12, 13], [(10, 10), (10, 11), (11, 13), (11, 13), (12, 12), (12, 13)])
([2801], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2885], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2918], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 15), (13, 15), (14, 14), (14, 15)])
([2931], [10, 11, 12, 13], [(10, 10), (10, 11), (11, 13), (11, 13), (12, 12), (12, 13)])
([2942], [10, 11, 12, 13], [(10, 11), (10, 10), (11, 13), (11, 13), (12, 12), (12, 13)])
([3043], [8, 9, 10, 11], [(8, 8), (8, 9), (9, 11), (9, 11), (10, 10), (10, 11)])
