([10], [12, 13, 14, 15], [(12, 13), (12, 13), (12, 15), (13, 14), (14, 15), (14, 15)])
([18], [10, 11, 12, 13], [(10, 11), (10, 11), (10, 13), (11, 12), (12, 13), (12, 13)])
([23], [12, 13, 14, 15], [(12, 13), (12, 13), (12, 15), (13, 14), (14, 15), (14, 15)])
([24], [12, 13, 14, 15], [(12, 13), (12, 15), (12, 15), (13, 14), (13, 14), (14, 15)])
([25], [11, 12, 13, 15], [(11, 15), (11, 15), (11, 13), (12, 13), (12, 13), (12, 15)])
([26], [11, 12, 13, 14], [(11, 12), (11, 14), (11, 14), (12, 13), (12, 13), (13, 14)])
([48], [10, 11, 12, 13], [(10, 11), (10, 11), (10, 12), (11, 13), (12, 13), (12, 13)])
([54], [9, 10, 11, 14], [(9, 10), (9, 10), (9, 11), (10, 14), (11, 14), (11, 14)])
([58], [10, 11, 12, 13], [(10, 11), (10, 13), (10, 13), (11, 12), (11, 12), (12, 13)])
([65], [10, 11, 12, 13], [(10, 12), (10, 13), (10, 13), (11, 12), (11, 12), (11, 13)])
([71], [9, 10, 11, 12], [(9, 10), (9, 10), (9, 12), (10, 11), (11, 12), (11, 12)])
([72], [10, 11, 12, 13], [(10, 11), (10, 11), (10, 13), (11, 12), (12, 13), (12, 13)])
([73], [10, 11, 12, 13], [(10, 11), (10, 11), (10, 13), (11, 12), (12, 13), (12, 13)])
([74], [10, 11, 12, 13], [(10, 11), (10, 11), (10, 13), (11, 12), (12, 13), (12, 13)])
([75], [9, 10, 11, 15], [(9, 11), (9, 15), (9, 15), (10, 11), (10, 11), (10, 15)])
([76], [9, 10, 11, 14], [(9, 10), (9, 14), (9, 14), (10, 11), (10, 11), (11, 14)])
([77], [9, 10, 11, 15], [(9, 10), (9, 10), (9, 15), (10, 11), (11, 15), (11, 15)])
([78], [8, 9, 10, 11], [(8, 9), (8, 9), (8, 11), (9, 10), (10, 11), (10, 11)])
([97], [12, 13, 14, 15], [(12, 13), (12, 13), (12, 14), (13, 15), (14, 15), (14, 15)])
([102], [11, 12, 13, 15], [(11, 12), (11, 12), (11, 15), (12, 13), (13, 15), (13, 15)])
([107], [10, 11, 12, 15], [(10, 11), (10, 11), (10, 15), (11, 12), (12, 15), (12, 15)])
([109], [11, 12, 13, 14], [(11, 12), (11, 14), (11, 14), (12, 13), (12, 13), (13, 14)])
([110], [11, 12, 13, 15], [(11, 13), (11, 15), (11, 15), (12, 13), (12, 13), (12, 15)])
([111], [11, 12, 13, 14], [(11, 12), (11, 12), (11, 13), (12, 14), (13, 14), (13, 14)])
([112], [12, 13, 14, 15], [(12, 14), (12, 14), (12, 15), (13, 14), (13, 15), (13, 15)])
([113], [12, 13, 14, 15], [(12, 14), (12, 14), (12, 13), (13, 15), (13, 15), (14, 15)])
([118], [11, 12, 13, 14], [(11, 14), (11, 14), (11, 13), (12, 13), (12, 13), (12, 14)])
([119], [10, 11, 12, 15], [(10, 11), (10, 12), (10, 12), (11, 15), (11, 15), (12, 15)])
([120], [10, 11, 12, 14], [(10, 12), (10, 12), (10, 14), (11, 12), (11, 14), (11, 14)])
([121], [12, 13, 14, 15], [(12, 14), (12, 14), (12, 15), (13, 14), (13, 15), (13, 15)])
([122], [10, 11, 13, 15], [(10, 13), (10, 13), (10, 15), (11, 13), (11, 15), (11, 15)])
([127], [7, 8, 9, 14], [(7, 8), (7, 8), (7, 9), (8, 14), (9, 14), (9, 14)])
([131], [9, 10, 11, 14], [(9, 11), (9, 11), (9, 10), (10, 14), (10, 14), (11, 14)])
([132], [9, 10, 11, 14], [(9, 11), (9, 11), (9, 14), (10, 11), (10, 14), (10, 14)])
([133], [9, 10, 11, 14], [(9, 10), (9, 10), (9, 11), (10, 14), (11, 14), (11, 14)])
([134], [9, 10, 11, 14], [(9, 11), (9, 10), (9, 10), (10, 14), (11, 14), (11, 14)])
([135], [8, 9, 12, 15], [(8, 9), (8, 15), (8, 15), (9, 12), (9, 12), (12, 15)])
